"energy","protein","carbohydrate","sugars","total_lipid_fat","fatty_acids_total_saturated","cholesterol","sodium","fiber_total_dietary","water","vitamin_a","vitamin_b","vitamin_b1","vitamin_b2","vitamin_b3","vitamin_b4","vitamin_b5","vitamin_b6","vitamin_b7","vitamin_b9_folic_acid","vitamin_b12","vitamin_c","vitamin_d","vitamin_e","vitamin_k","calcium","iron","magnesium","phosphorus","zinc","potassium","polyunsaturated","omega3","omega6","monounsaturated","omega9","lycopene","itemName","_isExt"
"607","18","17.9","-1000","56.4","7.9","0","0.001","9.3","3","0.000003","0.008291","0.00159","0.00012","0.00564","-1000","0.000694","0.000149","-1000","0.000098","0","0","0","-1000","-1000","0.141","0.00635","0.353","0.79","0.0104","0.459","24.727","0.427","24.3","21.3","21","-1000","טחינה גולמית","0"
"85","0.07","2.61","0.62","0","0","0","0.004","-1000","86.49","-1000","0.000348","0.000005","0.000031","0.000224","-1000","0.00003","0.000057","-1000","0.000001","-1000","-1000","-1000","-1000","0.0000004","0.008","0.00046","0.012","0.023","0.00014","0.127","0","-1000","-1000","0","-1000","-1000","יין אדום","0"
"23","2.13","3.67","0.87","0.52","0.014","0","0.046","2.8","92.2","0.000337","0.002124","0.000067","0.000162","0.001114","-1000","0.00057","0.000149","-1000","0.000062","-1000","0.027","-1000","0.0025","0.00031","0.067","0.00177","0.026","0.048","0.0005","0.521","0.04","-1000","0.04","0.275","0.273","-1000","כוסברה","0"
"92","3.38","19.94","0.9","0.62","0.134","0","0.004","2.7","75.63","-1000","0.001539","0.00004","0.000039","0.00094","-1000","0.000359","0.000077","-1000","0.000014","-1000","-1000","-1000","0.00009","0.0000019","0.007","0.0008","0.051","0.07","0.00061","0.088","0.188","0.014","0.174","0.188","0.179","-1000","כוסמת מבושלת-קלויה","0"
"25","1.28","5.8","3.2","0.1","0.034","0","0.018","2.5","92.2","0.000005","0.000714","0.000061","0.00004","0.000234","-1000","0.000212","0.000124","-1000","0.000043","-1000","0.0366","-1000","0.00015","0.000076","0.04","0.00047","0.012","0.026","0.00018","0.17","0.017","-1000","0.017","0.017","0.017","-1000","כרוב","0"
"232","7.55","44","8.41","5.19","1.47","0.00537","0.47556","4.81","2.55","0.00000116","0.00038","0.00001","0.00001","0.0002","-1000","0.0001","0.00004","-1000","0.00000448","-1000","0.00009","-1000","0.00002","0.00000036","0.04928","0.00025","0.01016","0.01592","0.00013","0.09578","1.25","0.24","1.01","0.24","0.24","-1000","לחם סודה מתכון","0"
"258","8.5","48.3","3.85","3.3","0.626","0","0.66","5.8","37.3","-1000","0.005199","0.000434","0.000335","0.003805","-1000","0.00044","0.000075","-1000","0.00011","-1000","0.0004","-1000","0.00033","0.0000012","0.073","0.00285","0.04","0.125","0.00115","0.166","0.799","0.06","0.739","1.311","1.296","-1000","לחם שיפון","0"
"22","0.35","6.9","2.52","0.24","0.04","0","0.001","0.3","92.31","0","0.000327","0.000024","0.000015","0.000091","-1000","0.000131","0.000046","-1000","0.00002","0","0.0387","0","0.00015","0","0.006","0.00008","0.006","0.008","0.00005","0.103","0.021","0.009","0.012","0.006","0.004","0","מיץ לימון","0"
"34","0.84","8.16","7.86","0.19","0.051","0","0.016","0.9","90.15","0.000169","0.000992","0.000041","0.000019","0.000734","-1000","0.000105","0.000072","-1000","0.000021","-1000","0.0367","-1000","0.00005","0.0000025","0.009","0.00021","0.012","0.015","0.00018","0.267","0.081","0.046","0.035","0.003","0.003","-1000","מלון","1"
"15","0.65","3.63","1.67","0.11","0.037","0","0.002","0.5","95.25","0.000005","0.000464","0.000027","0.000033","0.000098","-1000","0.000259","0.00004","-1000","0.000007","-1000","0.0028","-1000","0.00003","0.0000164","0.016","0.00028","0.013","0.024","0.0002","0.147","0.032","0.005","0.028","0.005","0.005","-1000","מלפפון עם קליפה","0"
